Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2021,10,19,19,30,0,-12.8314
2021,10,19,19,40,0,-14.9048
2021,10,19,19,50,0,-9.2028
2021,10,19,20,0,0,-9.2082
2021,10,19,20,10,0,-11.5509
2021,10,19,20,20,0,-6.3289
2021,10,19,20,30,0,-7.2794
2021,10,19,20,40,0,-10.3007
2021,10,19,20,50,0,-13.1621
2021,10,19,21,0,0,-12.0603
2021,10,19,21,10,0,-17.6076
2021,10,19,21,20,0,-15.1236
2021,10,19,21,30,0,-12.0359
2021,10,19,21,40,0,-10.7434
2021,10,19,21,50,0,-11.3403
2021,10,19,22,0,0,-10.5284
2021,10,19,22,10,0,-10.3578
2021,10,19,22,20,0,-10.012
2021,10,19,22,30,0,-10.6917
2021,10,19,22,40,0,-11.9909
2021,10,19,22,50,0,-8.1884
2021,10,19,23,0,0,-8.4931
2021,10,19,23,10,0,-8.6861
2021,10,19,23,20,0,-6.4329
2021,10,19,23,30,0,-8.7525
2021,10,19,23,40,0,-8.1011
2021,10,19,23,50,0,-9.5857
2021,10,20,0,0,0,-9.7668
2021,10,20,0,10,0,-9.2607
2021,10,20,0,20,0,-8.8554
2021,10,20,0,30,0,-5.8736
2021,10,20,0,40,0,-6.9877
2021,10,20,0,50,0,-7.2032
2021,10,20,1,0,0,-6.556
2021,10,20,1,10,0,-5.4018
2021,10,20,1,20,0,-4.1695
2021,10,20,1,30,0,-4.3881
2021,10,20,1,40,0,-4.5474
2021,10,20,1,50,0,-6.3188
2021,10,20,2,0,0,-5.446
2021,10,20,2,10,0,-5.5192
2021,10,20,2,20,0,-4.556
2021,10,20,2,30,0,-4.6931
2021,10,20,2,40,0,-4.288
2021,10,20,2,50,0,-4.1984
2021,10,20,3,0,0,-4.7704
2021,10,20,3,10,0,-6.3106
2021,10,20,3,20,0,-5.3596
2021,10,20,3,30,0,-5.6035
2021,10,20,19,30,0,-6.992
2021,10,20,19,40,0,-6.7787
2021,10,20,19,50,0,-5.0747
2021,10,20,20,0,0,-7.0362
2021,10,20,20,10,0,-6.4918
2021,10,20,20,20,0,-6.3358
2021,10,20,20,30,0,-6.1511
2021,10,20,20,40,0,-6.5676
2021,10,20,20,50,0,-7.0318
2021,10,20,21,0,0,-6.747
2021,10,20,21,10,0,-8.5119
2021,10,20,21,20,0,-8.8537
2021,10,20,21,30,0,-10.2634
2021,10,20,21,40,0,-10.0864
2021,10,20,21,50,0,-9.5715
2021,10,20,22,0,0,-8.9893
2021,10,20,22,10,0,-10.2744
2021,10,20,22,20,0,-10.4327
2021,10,20,22,30,0,-11.2459
2021,10,20,22,40,0,-8.0754
2021,10,20,22,50,0,-7.742
2021,10,20,23,0,0,-7.4419
2021,10,20,23,10,0,-8.7179
2021,10,20,23,20,0,-8.5092
2021,10,20,23,30,0,-7.751
2021,10,20,23,40,0,-9.9509
2021,10,20,23,50,0,-7.5706
2021,10,21,0,0,0,-7.692
2021,10,21,0,10,0,-10.8361
2021,10,21,0,20,0,-11.3363
2021,10,21,0,30,0,-12.4784
2021,10,21,0,40,0,-9.103
2021,10,21,0,50,0,-7.5903
2021,10,21,1,0,0,-7.7517
2021,10,21,1,10,0,-5.6209
2021,10,21,1,20,0,-10.4555
2021,10,21,1,30,0,-10.3703
2021,10,21,1,40,0,-8.2871
2021,10,21,1,50,0,-8.4725
2021,10,21,2,0,0,-10.0428
2021,10,21,2,10,0,-10.3622
2021,10,21,2,20,0,-10.7314
2021,10,21,2,30,0,-15.2513
2021,10,21,2,40,0,-9.4336
2021,10,21,2,50,0,-8.141
2021,10,21,3,0,0,-7.6393
2021,10,21,3,10,0,-7.3192
2021,10,21,3,20,0,-8.595
