Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2021.0,10.0,19.0,19.0,30.0,0.0,-12.8314
2021.0,10.0,19.0,19.0,40.0,0.0,-14.9048
2021.0,10.0,19.0,19.0,50.0,0.0,-9.2028
2021.0,10.0,19.0,20.0,0.0,0.0,-9.2082
2021.0,10.0,19.0,20.0,10.0,0.0,-11.5509
2021.0,10.0,19.0,20.0,20.0,0.0,-6.3289
2021.0,10.0,19.0,20.0,30.0,0.0,-7.2794
2021.0,10.0,19.0,20.0,40.0,0.0,-10.3007
2021.0,10.0,19.0,21.0,10.0,0.0,-17.6076
2021.0,10.0,19.0,21.0,20.0,0.0,-15.1236
2021.0,10.0,19.0,21.0,30.0,0.0,-12.0359
2021.0,10.0,19.0,21.0,40.0,0.0,-10.7434
2021.0,10.0,19.0,21.0,50.0,0.0,-11.3403
2021.0,10.0,19.0,22.0,0.0,0.0,-10.5284
2021.0,10.0,19.0,22.0,10.0,0.0,-10.3578
2021.0,10.0,19.0,22.0,20.0,0.0,-10.012
2021.0,10.0,19.0,22.0,50.0,0.0,-8.1884
2021.0,10.0,19.0,23.0,0.0,0.0,-8.4931
2021.0,10.0,19.0,23.0,10.0,0.0,-8.6861
2021.0,10.0,19.0,23.0,20.0,0.0,-6.4329
2021.0,10.0,19.0,23.0,30.0,0.0,-8.7525
2021.0,10.0,19.0,23.0,40.0,0.0,-8.1011
2021.0,10.0,19.0,23.0,50.0,0.0,-9.5857
2021.0,10.0,20.0,0.0,0.0,0.0,-9.7668
2021.0,10.0,20.0,0.0,30.0,0.0,-5.8736
2021.0,10.0,20.0,0.0,40.0,0.0,-6.9877
2021.0,10.0,20.0,0.0,50.0,0.0,-7.2032
2021.0,10.0,20.0,1.0,0.0,0.0,-6.556
2021.0,10.0,20.0,1.0,10.0,0.0,-5.4018
2021.0,10.0,20.0,1.0,20.0,0.0,-4.1695
2021.0,10.0,20.0,1.0,30.0,0.0,-4.3881
2021.0,10.0,20.0,1.0,40.0,0.0,-4.5474
2021.0,10.0,20.0,2.0,10.0,0.0,-5.5192
2021.0,10.0,20.0,2.0,20.0,0.0,-4.556
2021.0,10.0,20.0,2.0,30.0,0.0,-4.6931
2021.0,10.0,20.0,2.0,40.0,0.0,-4.288
