img_name,h_mean,s_mean,v_mean,Radiation Value
IMG_0001,89.127,189.793,199.675,-12.8314
IMG_0002,90.254,200.514,187.712,-14.9048
IMG_0003,87.662,167.677,217.517,-9.2028
IMG_0004,86.061,140.857,234.8,-9.2082
IMG_0005,86.288,145.253,231.362,-11.5509
IMG_0006,85.069,120.34,244.864,-6.3289
IMG_0007,85.344,127.51,241.449,-7.2794
IMG_0008,87.649,161.226,221.766,-10.3007
IMG_0009,88.465,170.595,215.907,-13.1621
IMG_0010,88.607,175.708,211.691,-12.0603
IMG_0011,89.368,188.015,202.427,-17.6076
IMG_0012,89.308,183.857,207.57,-15.1236
IMG_0013,88.304,166.632,219.509,-12.0359
IMG_0014,88.136,166.26,220.228,-10.7434
IMG_0015,87.98,163.444,222.138,-11.3403
IMG_0016,87.177,159.826,224.516,-10.5284
IMG_0017,87.588,163.84,221.86,-10.3578
IMG_0018,87.296,160.613,223.855,-10.012
IMG_0019,87.655,168.191,218.209,-10.6917
IMG_0020,86.713,156.494,226.149,-11.9909
IMG_0021,86.306,151.102,229.987,-8.1884
IMG_0022,86.251,163.806,219.64,-8.4931
IMG_0023,85.941,162.755,219.971,-8.6861
IMG_0024,84.818,152.227,227.297,-6.4329
IMG_0025,85.92,160.348,222.119,-8.7525
IMG_0026,86.521,165.729,218.899,-8.1011
IMG_0027,85.844,164.081,218.955,-9.5857
IMG_0028,85.429,176.122,205.716,-9.7668
IMG_0029,84.41,175.146,202.988,-9.2607
IMG_0030,84.953,180.27,198.749,-8.8554
IMG_0031,81.732,152.989,219.034,-5.8736
IMG_0032,84.104,169.347,208.433,-6.9877
IMG_0033,83.703,170.874,204.58,-7.2032
IMG_0034,83.39,168.654,206.531,-6.556
IMG_0035,80.111,145.572,222.981,-5.4018
IMG_0036,78.429,141.014,224.55,-4.1695
IMG_0037,78.152,142.803,222.612,-4.3881
IMG_0038,80.117,146.836,220.74,-4.5474
IMG_0039,81.899,157.961,213.143,-6.3188
IMG_0040,82.192,162.971,208.182,-5.446
IMG_0041,78.919,149.303,216.873,-5.5192
IMG_0042,77.357,142.82,220.426,-4.556
IMG_0043,76.681,143.353,218.537,-4.6931
IMG_0044,77.027,142.274,219.41,-4.288
IMG_0045,79.019,149.122,215.443,-4.1984
IMG_0046,78.981,151.204,212.234,-4.7704
IMG_0047,79.469,155.17,208.425,-6.3106
IMG_0048,78.593,152.217,210.577,-5.3596
IMG_0049,77.05,144.851,216,-5.6035
IMG_0050,84.873,105.829,250.264,-6.992
IMG_0051,84.85,107.915,249.947,-6.7787
IMG_0052,84.856,96.14,251.726,-5.0747
IMG_0053,85.166,126.036,242.466,-7.0362
IMG_0054,84.843,119.988,245.166,-6.4918
IMG_0055,84.767,115.232,247.235,-6.3358
IMG_0056,84.345,115.899,247.09,-6.1511
IMG_0057,84.451,113.058,247.488,-6.5676
IMG_0058,85.036,127.421,241.693,-7.0318
IMG_0059,84.345,104.009,251.208,-6.747
IMG_0060,85.349,121.383,244.391,-8.5119
IMG_0061,85.829,135.146,238.071,-8.8537
IMG_0062,86.343,134.11,238.293,-10.2634
IMG_0063,86.003,128.813,241.316,-10.0864
IMG_0064,85.763,134.718,238.834,-9.5715
IMG_0065,85.393,130.701,240.408,-8.9893
IMG_0066,86.298,138.111,237.055,-10.2744
IMG_0067,87.058,144.975,233.878,-10.4327
IMG_0068,87.331,146.058,233.562,-11.2459
IMG_0069,86.38,146.443,233.054,-8.0754
IMG_0070,85.869,144.992,233.837,-7.742
IMG_0071,85.146,147.821,231.127,-7.4419
IMG_0072,86.262,150.381,230.542,-8.7179
IMG_0073,86.171,146.478,232.106,-8.5092
IMG_0074,85.902,151.661,228.798,-7.751
IMG_0075,84.903,149.557,228.825,-9.9509
IMG_0076,85.366,149.11,230.318,-7.5706
IMG_0077,86.533,151.598,229.706,-7.692
IMG_0078,87.433,153.339,229.374,-10.8361
IMG_0079,86.762,154.311,228.503,-11.3363
IMG_0080,85.745,151.528,229.178,-12.4784
IMG_0081,84.953,152.117,226.747,-9.103
IMG_0082,85.245,146.474,231.656,-7.5903
IMG_0083,85.257,147.994,231.222,-7.7517
IMG_0084,84.492,143.521,232.641,-5.6209
IMG_0085,86.756,160.629,222.24,-10.4555
IMG_0086,86.063,167.593,215.11,-10.3703
IMG_0087,85.523,159.478,220.65,-8.2871
IMG_0088,85.429,160.213,220.44,-8.4725
IMG_0089,87.229,162.106,222.155,-10.0428
IMG_0090,87.344,165.047,219.664,-10.3622
IMG_0091,86.473,155.644,225.873,-10.7314
IMG_0092,85.958,158.929,221.966,-15.2513
IMG_0093,84.339,154.102,223.584,-9.4336
IMG_0094,84.382,160.031,218.187,-8.141
IMG_0095,83.432,155.454,220.367,-7.6393
IMG_0096,83.759,163,212.918,-7.3192
IMG_0097,83.325,164.076,209.217,-8.595
IMG_0098,79.365,146.546,219.059,-7.576
IMG_0099,85.469,85.593,253.715,-2.9243
IMG_0100,84.178,98.205,251.336,-2.7365
IMG_0101,85.083,95.046,251.944,-2.2909
IMG_0102,83.736,113.371,247.485,-1.9629
IMG_0103,84.754,97.993,250.936,-2.268
IMG_0104,84.155,94.476,252.016,-2.3135
IMG_0105,84.255,100.814,250.517,-2.8642
IMG_0106,84.961,91.719,252.706,-2.0821
IMG_0107,83.576,105.39,248.683,-2.389
IMG_0108,83.214,106.06,248.408,-3.3678
IMG_0109,84.564,98.359,251.913,-2.6668
IMG_0110,85.326,93.735,253.327,-2.5347
IMG_0111,82.654,111.886,246.721,-3.2807
IMG_0112,82.683,115.251,246.438,-2.8303
IMG_0113,83.671,104.986,250.664,-2.4927
IMG_0114,82.736,112.906,247.384,-2.2528
IMG_0115,83.084,130.242,239.431,-2.6156
IMG_0116,82.517,119.479,244.607,-2.6536
IMG_0117,82.298,117.065,244.453,-2.672
IMG_0118,82.704,123.981,242.132,-2.7455
IMG_0119,83.133,116.885,245.47,-2.4321
IMG_0120,79.843,143.298,225.471,-2.3132
IMG_0121,79.953,137.954,230.709,-3.1799
IMG_0122,78.531,128.875,235.331,-2.415
IMG_0123,78.964,126.773,237.941,-2.2129
IMG_0124,78.477,130.688,234.159,-2.2781
IMG_0125,80.374,144.756,224.908,-3.3091
IMG_0126,80.467,144.423,224.726,-3.115
IMG_0127,82.043,152.332,219.814,-3.484
IMG_0128,79.956,143.543,224.318,-3.0138
IMG_0129,79.29,135.165,231.112,-3.4582
IMG_0130,78.367,136.417,227.774,-3.2639
IMG_0131,77.086,132.814,228.693,-3.3784
IMG_0132,77.138,129.369,231.13,-2.7908
IMG_0133,76.377,132.471,226.749,-2.8901
IMG_0134,78.725,138.258,225.985,-2.8651
IMG_0135,79.51,139.001,226.641,-2.8071
IMG_0136,78.372,138.74,224.399,-2.32
IMG_0137,78.909,144.218,219.994,-2.192
IMG_0138,76.639,134.429,226.004,-2.1397
IMG_0139,77.069,135.817,224.987,-2.2434
IMG_0140,78.116,143.851,219.478,-2.187
IMG_0141,77.52,141.762,219.911,-3.159
IMG_0142,75.438,135.827,221.772,-2.3199
IMG_0143,74.296,130.021,227.054,-2.1627
