Year,Month,Day,Time,Min,image_name,Clear,Cirrus,Cirrostratus,Stratus,Stratocumulus,Cumulus,Cirrocumulus,Nimbus,Clear_weighted,Cirrus_weighted,Cirrostratus_weighted,Stratus_weighted,Stratocumulus_weighted,Cumulus_weighted,Cirrocumulus_weighted,Nimbus_weighted,label,Temperature(C),Absolute_Humidity(g/m^3),Radiation Value
2021,10,26,19,30,IMG_0321,0.436,0,0.002,0.562,0,0,0.001,0,0.273757362,0,0.000680409,0.324701405,0,0,0.000315032,0,1,23.2,14.96756898,-25.2075
2021,10,26,19,40,IMG_0322,0.4,0,0.008,0.591,0,0,0,0,0.25811392,0,0.002966774,0.328814836,0,0,0,0,1,23.2,14.96756898,-25.5786
2021,10,26,19,50,IMG_0323,0.346,0,0.019,0.635,0,0,0,0,0.22097035,0,0.007188529,0.343916121,0,0,0,0,1,23.1,15.08911335,-24.7091
2021,10,26,20,0,IMG_0324,0.424,0,0.013,0.563,0,0,0,0,0.2726878,0,0.004955401,0.313440182,0,0,0,0,1,23,15.00319899,-25.4626
2021,10,26,20,10,IMG_0325,0.378,0,0.006,0.616,0,0,0,0,0.244443404,0,0.001927051,0.333322491,0,0,0,0,1,22.9,15.1220592,-23.8476
2021,10,26,20,20,IMG_0326,0.451,0,0,0.549,0,0,0,0,0.296557166,0,0,0.305286726,0,0,0,0,1,22.9,15.32641135,-24.8854
2021,10,26,20,30,IMG_0327,0.44,0,0.001,0.559,0,0,0,0,0.286166511,0,0.000147416,0.31263463,0,0,0,0,1,22.8,15.23900942,-23.526
2021,10,26,23,10,IMG_0328,0.759,0,0.026,0.111,0.003,0.001,0.099,0,0.552836336,1.61E-05,0.013793923,0.059767511,0.001621597,0.000472994,0.049817916,0,1,22.6,15.2663685,-22.9349
2021,10,26,23,20,IMG_0329,0.435,0,0.005,0.182,0,0.002,0.376,0,0.329192293,0,0.002690775,0.098009818,8.92E-05,0.000999189,0.156009262,0,1,22.5,15.17910453,-22.9028
2021,10,26,23,40,IMG_0331,0.498,0,0,0.185,0.003,0.312,0.002,0,0.360472874,0,2.62E-06,0.09822174,0.001263018,0.102701825,0.00086253,0,1,22.6,15.2663685,-16.2877
2021,10,26,23,50,IMG_0332,0.779,0,0,0.162,0.003,0.054,0.002,0,0.570967135,0,0,0.085689573,0.001312102,0.022899316,0.00083928,0,1,22.6,15.2663685,-20.1999
2021,10,27,0,0,IMG_0333,0.746,0,0,0.172,0,0.051,0.031,0,0.544331994,0,0.000137335,0.091323235,1.96E-05,0.013686576,0.013541076,0,1,22.4,15.09227145,-21.101
2021,10,27,1,40,IMG_0343,0.073,0,0,0.16,0.729,0.004,0.034,0,0.058109503,0,0,0.077315648,0.332998978,0.001088123,0.009852644,0,1,22.5,14.97937947,-15.0186
2021,10,27,1,50,IMG_0344,0.339,0,0,0.141,0.02,0.499,0,0,0.265502246,0,0,0.068145147,0.009149872,0.18734378,6.88E-05,0,1,22.6,15.06549523,-21.3082
2021,10,27,2,0,IMG_0345,0.337,0,0.012,0.123,0.006,0.006,0.516,0,0.252978117,0,0.004939874,0.058941451,0.00264037,0.002459848,0.204213416,0,1,22.5,15.17910453,-21.8937
2021,10,27,2,30,IMG_0348,0.457,0,0,0.122,0.004,0.416,0.001,0,0.326955687,0,0,0.054967593,0.00199858,0.121996462,0.000440144,0,1,22.3,15.00586751,-21.8038
2021,10,27,2,40,IMG_0349,0.856,0,0,0.116,0.005,0.021,0.002,0,0.657055611,0,0,0.052696845,0.001914979,0.008519952,0.000733819,0,1,22.3,14.80842188,-23.3859
2021,10,27,2,50,IMG_0350,0.892,0,0,0.103,0,0.005,0,0,0.676520756,0,0,0.047522949,0,0.001903576,0,0,1,22.3,14.80842188,-24.797
2021,10,27,3,0,IMG_0351,0.886,0,0.003,0.111,0,0,0,0,0.665888627,0,0.001252562,0.051296071,0,0,0.000230431,0,1,22.2,14.91989094,-24.6843
2021,10,27,3,10,IMG_0352,0.677,0.124,0.02,0.068,0,0,0.111,0,0.519737342,0.057271221,0.008489228,0.0316375,8.28E-06,0,0.032888679,0,1,22.1,15.02952867,-23.5069
2021,10,27,3,20,IMG_0353,0.26,0,0,0.084,0.004,0,0.652,0,0.192643465,2.33E-06,2.07E-05,0.039583421,0.002097356,0,0.183402239,0,1,22.2,14.91989094,-23.6533
2021,10,27,20,10,IMG_0359,0.096,0,0.013,0.324,0.271,0.001,0.296,0,0.063959751,7.45E-06,0.006382888,0.219144336,0.142085156,0.000579132,0.158203005,0,1,22.3,14.21608501,-24.8758
2021,10,27,20,20,IMG_0360,0.155,0,0.049,0.448,0.281,0.001,0.066,0,0.101798197,0,0.026903959,0.279592616,0.154788807,0.000283248,0.038020688,0,1,22.2,14.13463352,-23.7639
2021,10,27,20,30,IMG_0361,0.222,0,0.048,0.509,0.029,0.004,0.187,0,0.143532625,0.000188537,0.02706383,0.310143404,0.016150721,0.001845395,0.09583448,0,1,22.2,14.13463352,-24.5323
2021,10,27,21,0,IMG_0364,0.34,0,0,0.655,0,0.005,0,0,0.2243689,0,0,0.37822666,0,0.001884247,0,0,1,22.1,14.05358525,-25.3886
2021,10,27,21,10,IMG_0365,0.352,0,0,0.648,0,0,0,0,0.228592721,0,1.98E-06,0.374081205,0,0,0,0,1,22,14.16700714,-24.6913
