Year,Month,Day,Time,Min,image_name,Clear,Cirrus,Cirrostratus,Stratus,Stratocumulus,Cumulus,Cirrocumulus,Nimbus,Clear_weighted,Cirrus_weighted,Cirrostratus_weighted,Stratus_weighted,Stratocumulus_weighted,Cumulus_weighted,Cirrocumulus_weighted,Nimbus_weighted,label,Temperature(C),Absolute_Humidity(g/m^3),Radiation Value
2025,12,1,19,30,IMG_0001,0.765,0,0.028,0.205,0,0,0.002,0,0.411970215,1.67E-05,0.01400785,0.112719351,0,0,0.001084292,0,1,21.48,16.19338834,-28.849
2025,12,1,19,40,IMG_0002,0.776,0,0.009,0.2,0,0.01,0.005,0,0.41979538,0,0.004469561,0.112460584,0,0.00519511,0.002391031,0,1,21.43,16.16535471,-29.3484
2025,12,1,19,50,IMG_0003,0.714,0,0.031,0.255,0,0,0,0,0.38692829,0,0.015357219,0.141057782,0,0,0,0,1,21.5,16.13673936,-28.8846
2025,12,1,20,0,IMG_0004,0.749,0,0.025,0.226,0,0,0,0,0.409104567,0,0.011603448,0.124626164,0,0,0,0,1,21.37,16.16540359,-28.8949
2025,12,1,20,10,IMG_0005,0.791,0,0.011,0.137,0,0.056,0.005,0,0.419027299,0,0.005127411,0.075703891,0,0.031029087,0.002417931,0,1,21.3,16.23040092,-28.4081
2025,12,1,20,20,IMG_0006,0.773,0,0.051,0.176,0,0,0,0,0.426754778,0,0.024819178,0.095394366,0,0,0,0,1,21.31,16.31439144,-27.7456
2025,12,1,20,30,IMG_0007,0.883,0,0.016,0.101,0,0,0,0,0.482829612,9.39E-07,0.007340925,0.053544434,0,0,0,0,1,21.31,16.25845638,-28.4439
2025,12,1,20,40,IMG_0008,0.824,0,0.033,0.143,0,0,0,0,0.459760765,0,0.015358984,0.0760391,0,0,0,0,1,21.29,16.22099519,-28.0941
2025,12,1,20,50,IMG_0009,0.849,0,0.023,0.127,0,0,0.002,0,0.474571169,0,0.011025669,0.068024985,0,0,0.001092188,0,1,21.3,16.26766934,-28.6687
2025,12,1,21,0,IMG_0010,0.9,0,0.03,0.071,0,0,0,0,0.511143773,0,0.013190986,0.036478779,0,0,0,0,1,21.34,16.32410344,-28.6371
2025,12,1,21,10,IMG_0011,0.87,0,0.04,0.091,0,0,0,0,0.501352667,9.99E-07,0.017864288,0.046835968,0,0,0,0,1,21.42,16.34363839,-28.5739
2025,12,1,21,20,IMG_0012,0.818,0,0.044,0.077,0,0.054,0.008,0,0.471162215,0,0.019376563,0.038566264,0,0.028467285,0.003773858,0,1,21.38,16.36197923,-28.3648
2025,12,1,21,30,IMG_0013,0.913,0,0.023,0.048,0,0.011,0.006,0,0.519052456,0,0.009142188,0.02417648,0,0.005413394,0.002711223,0,1,21.43,16.428206,-28.5214
2025,12,1,21,40,IMG_0014,0.834,0,0.049,0.069,0,0.043,0.006,0,0.486090835,0,0.022573588,0.033470846,4.09E-06,0.021489446,0.003065347,0,1,21.43,16.48453128,-28.4386
2025,12,1,21,50,IMG_0015,0.891,0,0.057,0.026,0,0.009,0.017,0,0.508828538,3.79E-05,0.021851698,0.013003568,0,0.005298918,0.00829813,0,1,21.48,16.56997876,-28.8863
2025,12,1,22,0,IMG_0016,0.822,0,0.112,0.049,0,0.016,0.001,0,0.493589686,0,0.044538026,0.023734037,0,0.007978651,0.000350353,0,1,21.42,16.56880907,-28.2611
2025,12,1,22,10,IMG_0017,0.977,0,0.014,0.008,0,0,0.001,0,0.587371439,0,0.005388507,0.003881273,0,0,0.000512883,0,1,21.38,16.58662883,-28.6361
2025,12,1,22,20,IMG_0018,0.958,0,0.014,0.028,0,0,0,0,0.601969118,0,0.005281535,0.012257347,0,0,0,0,1,21.4,16.53088564,-28.4431
2025,12,1,22,30,IMG_0019,0.968,0,0.011,0.02,0,0,0.001,0,0.604174564,0,0.004336877,0.008750503,0,0,0.000478651,0,1,21.43,16.52208147,-28.4221
2025,12,1,22,40,IMG_0020,0.698,0,0.009,0.058,0.001,0.209,0.025,0,0.417168202,0,0.003355484,0.026405011,0.000558691,0.09597023,0.009717931,0,1,21.38,16.58662883,-20.1934
2025,12,1,22,50,IMG_0021,0.215,0,0.002,0.164,0.163,0.455,0.002,0,0.130827855,0,0.000737237,0.074735074,0.106140174,0.250886215,0.000706986,0,1,21.44,16.73829697,-23.9989
2025,12,1,23,0,IMG_0022,0.399,0,0.002,0.055,0.003,0.537,0.003,0,0.257277997,0,0.000729169,0.022552141,0.001180386,0.254517991,0.001028087,0,1,21.32,16.67831059,-23.7916
2025,12,1,23,10,IMG_0023,0.589,0,0.002,0.084,0.031,0.292,0.002,0,0.405481273,0,0.000638522,0.036610044,0.0171013,0.150042954,0.001198302,0,1,21.32,16.58503145,-26.4738
2025,12,1,23,20,IMG_0024,0.877,0,0.003,0.016,0,0.102,0.001,0,0.592702118,0,0.001052569,0.006437034,0.000125879,0.053655672,0.000553974,0,1,21.39,16.59623983,-27.1947
2025,12,1,23,30,IMG_0025,0.874,0,0.036,0.053,0,0.035,0.001,0,0.589646402,0,0.01519502,0.021920838,2.32E-05,0.017340775,0.000643179,0,1,21.38,16.60534963,-27.5085
2025,12,1,23,40,IMG_0026,0.918,0,0.006,0.043,0,0.032,0,0,0.619731423,0,0.001646252,0.017476405,0,0.013070763,0.000101164,0,1,21.25,16.5736052,-26.4441
2025,12,1,23,50,IMG_0027,0.928,0,0.016,0.04,0.001,0.013,0.003,0,0.649060201,0,0.00531256,0.015950406,0.000542571,0.005073175,0.000988995,0,1,21.03,16.54677732,-27.1037
2025,12,2,0,0,IMG_0028,0.523,0,0.001,0.05,0.068,0.356,0.002,0,0.370946161,0,0.00028569,0.020220793,0.044151908,0.193830071,0.000653576,0,1,20.87,16.44813156,-25.3375
2025,12,2,0,10,IMG_0029,0,0,0,0.022,0.977,0,0,0.001,0,0,0,0.012066722,0.817748986,4.80E-05,0,0.000678703,2,20.76,16.46960423,-11.1037
2025,12,2,0,20,IMG_0030,0.001,0,0,0.105,0.894,0,0,0,0.000611478,0,0,0.039287034,0.691304733,0,0,0,2,20.74,16.54062858,-14.6042
2025,12,2,0,30,IMG_0031,0,0,0,0.004,0.004,0,0,0.992,0,0,0,0.00314683,0.002756911,0,0,0.88038765,3,20.84,16.60088464,-1.9638
2025,12,2,0,40,IMG_0032,0,0,0,0.027,0.973,0,0,0,0,0,0,0.010717473,0.705934112,0,1.41E-05,0,2,20.94,16.64295606,-6.2643
2025,12,2,0,50,IMG_0033,0,0,0,0,0.998,0,0,0.002,0,0,0,1.43E-05,0.82752678,0,0,0.001811959,2,20.98,16.66340115,-2.8866
2025,12,2,1,0,IMG_0034,0,0,0,0.001,0.003,0,0,0.995,0,0,0,0.000870718,0.00218276,0,0,0.906823272,3,20.98,16.69998381,-1.3404
2025,12,2,1,10,IMG_0035,0,0,0,0.002,0.003,0,0,0.995,0,0,0,0.001219449,0.002005386,0,0,0.909600654,3,20.98,16.73656647,-1.4186
2025,12,2,1,20,IMG_0036,0,0,0,0.615,0.139,0,0,0.247,0,0,0,0.495503628,0.088263897,0,0,0.206429755,2,20.99,16.85610643,-3.2525
2025,12,2,1,30,IMG_0037,0,0,0,0.002,0.003,0,0,0.996,0,0,0,0.001055101,0.00185444,0,0,0.906137169,3,20.99,16.96591819,-1.8616
